Name,Street,City,State,ZIP,ACTState,
BRIDGEPORT CORRECTIONAL CENTER,4000 N 10TH STREET,Bridgeport,TEXAS,76426,TEXAS,
BRIDGEPORT PRE-PAROLE TRANSFER FACILTY,222 LAKE ROAD,Bridgeport,TEXAS,76426,TEXAS,
BRIDGES OF JACKSONVILLE WORK RELEASE CENTER,5110 12TH STREET,JACKSONVILLE,FLORIDA,32209,FLORIDA,
BRIDGES OF ORLANDO,2007 NORTH MERCY DRIVE,ORLANDO,FLORIDA,32831,FLORIDA,
BRIDGES OF POMPANO - TURNING POINT WRC,400 F SW 2ND STREET,POMPANO BEACH,FLORIDA,33060,FLORIDA,
BRIDGEWATER STATE HOSPITAL,20 ADMINISTRATION ROAD,BRIDGEWATER,MASSACHUSETTS,2324,MASSACHUSETTS,
"BRIDGEWAY, INC",620 W GRAND ST,PONCA CITY,OKLAHOMA,74601,OKLAHOMA,
BROAD RIVER CORRECTIONAL INSTITUTION,4460 BROAD RIVER ROAD,COLUMBIA,SOUTH CAROLINA,29210,SOUTH CAROLINA,
BROCKBRIDGE CORRECTIONAL FACILITY,7930 BROCK BRIDGE ROAD,JESSUP,MARYLAND,20794,MARYLAND,
Bronx Comm Corr,2534 Creston Ave,Bronx,NEW YORK,10468,NEW YORK,
BROOKLYN BRIDGE,76 HARTFORD RD,BROOKLYN,CONNECTICUT,6234,CONNECTICUT,
BROOKLYN CORRECTIONAL INSTITUTION,59 HARTFORD ROAD,BROOKLYN,CONNECTICUT,6234,CONNECTICUT,
BROWN CREEK CORRECTIONAL INSTITUTION,248 PRISON CAMP ROAD,POLKTON,NORTH CAROLINA,28135,NORTH CAROLINA,
BROWNSTONE WORK RELEASE,223 S Browne,Spokane,WASHINGTON,99201,WASHINGTON,
BRUNSWICK WORK CENTER,1147 PLANTERS ROAD,LAWRENCEVILLE,VIRGINIA,23868,VIRGINIA,
BRYAN FPC,1100 URSULINE AVENUE,BRYAN,TEXAS,77803,TEXAS,
BSSW- CSC MINT,2846 E. Roosevelt Road,Phoenix,ARIZONA,85008,ARIZONA,
BUCKINGHAM CORRECTIONAL CENTER,1349 Correctional Center Road Route 20N,Dillwyn,VIRGINIA,23936,VIRGINIA,
BUENA VISTA CORRECTIONAL FACILITY,15125 HWY 24 & 285,BUENA VISTA,COLORADO,81211,COLORADO,
